m,o,u,s,a,b,$,COPY	m,o,u,s,a,b
m,o,u,s,a,b,$,V,FUT	m,o,u,s,a,b
m,o,u,s,a,b,$,V,PST	n,i,u,s,a,b
m,o,u,s,a,b,$,V,PRS	n,a,g,-,u,s,a,b
m,o,u,s,a,b,$,V,NFIN	m,o,u,s,a,b
m,o,u,s,a,b,$,V,PRF,PST	n,a,u,s,a,b
m,o,u,s,a,b,$,V,PROG,PRS	n,i,n,g,-,u,s,a,b
m,o,s,u,l,t,i,$,COPY	m,o,s,u,l,t,i
m,o,s,u,l,t,i,$,V,PROG,PRS	n,i,n,g,s,u,l,t,i
m,o,s,u,l,t,i,$,V,NFIN	m,o,s,u,l,t,i
m,o,s,u,l,t,i,$,V,FUT	m,o,s,u,l,t,i
m,o,s,u,l,t,i,$,V,PRF,PST	n,a,s,u,l,t,i
m,o,s,u,l,t,i,$,V,PRS	n,a,g,s,u,l,t,i
m,o,s,u,l,t,i,$,V,PST	n,i,s,u,l,t,i
m,o,h,i,n,u,m,d,o,m,$,COPY	m,o,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,PST	n,i,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,PRF,PST	n,a,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,PRS	n,a,g,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,PROG,PRS	n,i,n,g,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,FUT	m,o,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,$,V,NFIN	m,o,h,i,n,u,m,d,o,m
m,o,s,a,b,o,t,$,COPY	m,o,s,a,b,o,t
m,o,s,a,b,o,t,$,V,PRS	n,a,g,s,a,b,o,t
m,o,s,a,b,o,t,$,V,FUT	m,o,s,a,b,o,t
m,o,s,a,b,o,t,$,V,PROG,PRS	n,i,n,g,s,a,b,o,t
m,o,s,a,b,o,t,$,V,NFIN	m,o,s,a,b,o,t
m,o,s,a,b,o,t,$,V,PST	n,i,s,a,b,o,t
m,o,s,a,b,o,t,$,V,PRF,PST	n,a,s,a,b,o,t
m,o,g,u,n,i,t,$,COPY	m,o,g,u,n,i,t
m,o,g,u,n,i,t,$,V,FUT	m,o,g,u,n,i,t
m,o,g,u,n,i,t,$,V,PROG,PRS	n,i,n,g,g,u,n,i,t
m,o,g,u,n,i,t,$,V,NFIN	m,o,g,u,n,i,t
m,o,g,u,n,i,t,$,V,PST	n,i,g,u,n,i,t
m,o,g,u,n,i,t,$,V,PRF,PST	n,a,g,u,n,i,t
m,o,g,u,n,i,t,$,V,PRS	n,a,g,g,u,n,i,t
m,o,p,a,l,i,t,$,COPY	m,o,p,a,l,i,t
m,o,p,a,l,i,t,$,V,PROG,PRS	n,i,n,g,p,a,l,i,t
m,o,p,a,l,i,t,$,V,NFIN	m,o,p,a,l,i,t
m,o,p,a,l,i,t,$,V,PRS	n,a,g,p,a,l,i,t
m,o,p,a,l,i,t,$,V,PRF,PST	n,a,k,a,p,a,l,i,t
m,o,p,a,l,i,t,$,V,FUT	m,o,p,a,l,i,t
m,o,p,a,l,i,t,$,V,PST	n,i,p,a,l,i,t
m,a,n,g,i,t,a,$,COPY	m,a,n,g,i,t,a
m,a,n,g,i,t,a,$,V,PST	n,a,n,g,i,t,a
