s,u,k,l,a,y,$,COPY	s,u,k,l,a,y
s,u,k,l,a,y,$,V,IPFV,PFOC	s,i,n,u,s,u,k,l,a,y
s,u,k,l,a,y,$,V,PFV,PFOC	s,i,n,u,k,l,a,y
s,u,k,l,a,y,$,V,IPFV,AGFOC	n,a,g,s,u,s,u,k,l,a,y
s,u,k,l,a,y,$,V,PFOC,LGSPEC1	s,u,s,u,k,l,a,y,i,n
s,u,k,l,a,y,$,V,NFIN	s,u,k,l,a,y
s,u,k,l,a,y,$,V,PFV,AGFOC	n,a,g,s,u,k,l,a,y
s,u,k,l,a,y,$,V,AGFOC,LGSPEC1	m,a,g,s,u,s,u,k,l,a,y
h,i,w,a,',$,COPY	h,i,w,a,'
h,i,w,a,',$,V,IPFV,PFOC	h,i,n,i,h,i,w,a,'
h,i,w,a,',$,V,AGFOC,LGSPEC1	m,a,g,h,i,h,i,w,a,'
h,i,w,a,',$,V,PFV,AGFOC	n,a,g,h,i,w,a,'
h,i,w,a,',$,V,IPFV,AGFOC	n,a,g,h,i,h,i,w,a,'
h,i,w,a,',$,V,PFV,PFOC	h,i,n,i,w,a,'
h,i,w,a,',$,V,NFIN	h,i,w,a,'
h,i,w,a,',$,V,PFOC,LGSPEC1	h,i,h,i,w,a,i,n,'
t,a,a,s,$,COPY	t,a,a,s
t,a,a,s,$,V,PFV,AGFOC	n,a,g,t,a,a,s
t,a,a,s,$,V,IPFV,PFOC	i,t,i,n,a,t,a,a,s
t,a,a,s,$,V,NFIN	t,a,a,s
t,a,a,s,$,V,PFOC,LGSPEC1	i,t,a,t,a,a,s
t,a,a,s,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,a,a,s
t,a,a,s,$,V,PFV,PFOC	i,t,i,n,a,a,s
t,a,a,s,$,V,IPFV,AGFOC	n,a,g,t,a,t,a,a,s
k,u,h,a,',$,COPY	k,u,h,a,'
k,u,h,a,',$,V,AGFOC,LGSPEC1	k,u,k,u,h,a,'
k,u,h,a,',$,V,IPFV,PFOC	k,i,n,u,k,u,n,a,n
k,u,h,a,',$,V,IPFV,AGFOC	k,u,m,u,k,u,h,a,'
