s,e,k,a,$,COPY	s,e,k,a
s,e,k,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
s,e,k,a,$,V,PL,1,FUT	t,i,c,h,a,s,e,k,a
s,e,k,a,$,V,PL,3,FUT	v,a,c,h,a,s,e,k,a
s,e,k,a,$,V,SG,2,PST	w,a,k,a,s,e,k,a
s,e,k,a,$,V,SG,1,PRS	n,d,i,n,o,s,e,k,a
s,e,k,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,e,k,a
s,e,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,e,k,a
s,e,k,a,$,V,PL,1,PRS	t,i,n,o,s,e,k,a
s,e,k,a,$,V,PL,3,PRS	v,a,n,o,s,e,k,a
s,e,k,a,$,V,SG,2,FUT	u,c,h,a,s,e,k,a
s,e,k,a,$,V,PL,3,PST	v,a,k,a,s,e,k,a
s,e,k,a,$,V,PL,2,PRS	m,u,n,o,s,e,k,a
s,e,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,e,k,a
s,e,k,a,$,V,PL,2,FUT	m,u,c,h,a,s,e,k,a
s,e,k,a,$,V,SG,2,HOD	w,a,s,e,k,a
s,e,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,e,k,a
s,e,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,e,k,a
s,e,k,a,$,V,SG,3,PRS	a,n,o,s,e,k,a
s,e,k,a,$,V,SG,3,FUT	a,c,h,a,s,e,k,a
s,e,k,a,$,V,PL,2,HOD	m,a,s,e,k,a
s,e,k,a,$,V,PL,1,PST	t,a,k,a,s,e,k,a
s,e,k,a,$,V,SG,3,HOD	a,s,e,k,a
s,e,k,a,$,V,SG,1,PST	n,d,a,k,a,s,e,k,a
s,e,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,e,k,a
s,e,k,a,$,V,SG,2,PRS	u,n,o,s,e,k,a
s,e,k,a,$,V,SG,3,PST	a,k,a,s,e,k,a
s,e,k,a,$,V,PL,2,PST	m,a,k,a,s,e,k,a
s,e,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,e,k,a
s,e,k,a,$,V,PL,3,HOD	v,a,s,e,k,a
s,e,k,a,$,V,PL,1,HOD	t,a,s,e,k,a
d,o,n,h,a,$,COPY	d,o,n,h,a
d,o,n,h,a,$,V,PL,3,PST	v,a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,3,PRS	v,a,n,o,d,o,n,h,a
d,o,n,h,a,$,V,PL,2,FUT	m,u,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,3,PRS	a,n,o,d,o,n,h,a
d,o,n,h,a,$,V,PL,1,PST	t,a,k,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,1,HOD	n,d,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,3,HOD	v,a,d,o,n,h,a
d,o,n,h,a,$,V,SG,1,PRS	n,d,i,n,o,d,o,n,h,a
d,o,n,h,a,$,V,PL,1,HOD	t,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,1,FUT	t,i,c,h,a,d,o,n,h,a
d,o,n,h,a,$,V,PL,2,PST	m,a,k,a,d,o,n,h,a
